OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_S001292536	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002035746	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002229667	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002229668	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002229669	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002229670	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002288887	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952137	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952138	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952140	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952143	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952145	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952147	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952148	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952150	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952151	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952152	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952154	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S002952155	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S003303723	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S004062356	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S004062407	Brachyspira_pilosicoli	0	0	0	intestinal_lumen|malabsorption|secretory_diarrhea	intestinal_spirochetosis|colitis	0	0
otu_S000414455	Prevotella_oulorum	gingivitis|dental_plaque	0	0	0	0	0	major_depressive_disorder|children_autistic
otu_S001589399	Prevotella_oulorum	gingivitis|dental_plaque	0	0	0	0	0	major_depressive_disorder|children_autistic
otu_S001910594	Prevotella_oulorum	gingivitis|dental_plaque	0	0	0	0	0	major_depressive_disorder|children_autistic
otu_S002235884	Prevotella_oulorum	gingivitis|dental_plaque	0	0	0	0	0	major_depressive_disorder|children_autistic
otu_S001264970	Prevotella_fusca	dental_caries|gingivitis	0	0	0	0	0	0
otu_S003264567	Prevotella_fusca	dental_caries|gingivitis	0	0	0	0	0	0
otu_S000016134	Eikenella_corrodens	periodontal_disease	animal_bite_infection	atherosclerosis|endocarditis	0	0	0	0
otu_S000436066	Eikenella_corrodens	periodontal_disease	animal_bite_infection	atherosclerosis|endocarditis	0	0	0	0
otu_S001589401	Eikenella_corrodens	periodontal_disease	animal_bite_infection	atherosclerosis|endocarditis	0	0	0	0
otu_S001610887	Eikenella_corrodens	periodontal_disease	animal_bite_infection	atherosclerosis|endocarditis	0	0	0	0
otu_S002034988	Eikenella_corrodens	periodontal_disease	animal_bite_infection	atherosclerosis|endocarditis	0	0	0	0
otu_S003222613	Eikenella_corrodens	periodontal_disease	animal_bite_infection	atherosclerosis|endocarditis	0	0	0	0
otu_NC008593170256171767+	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_NC00859318087641810275+	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
otu_NC00859319270101928521+	Clostridium_novyi	0	soft_tissue_infection	0	epithelial_infection	colitis|oedematous_duodenitis	0	somnolenc
